,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,S6,C6,S7,C7,percentage_of_total_chips_hand,percentage_of_hand_bet_pot,percentage_of_total_chips_in_pot,current_stage,move,result,player_hand_ranking
0,4,12,4,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,0,1,1,6
1,4,12,4,8,1,6,4,13,3,4,0,0,0,0,0.16666666666666666,0.0225,0.006666666666666667,1,1,1,7
2,4,12,4,8,1,6,4,13,3,4,2,9,0,0,0.16666666666666666,0.0225,0.006666666666666667,2,0,1,7
0,2,8,1,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,3
0,4,6,3,11,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,3
0,1,10,2,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,0,2,1,3
1,1,10,2,13,1,6,4,13,3,4,0,0,0,0,0.16666666666666666,0.0125,0.006666666666666667,1,2,1,3
2,1,10,2,13,1,6,4,13,3,4,2,9,0,0,0.16666666666666666,0.0125,0.006666666666666667,2,2,1,3
0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.006666666666666667,0,0,1,3
0,4,2,1,4,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.0025,0,0,1,3
0,4,9,3,1,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.01,0.0025,0,,1,3
0,2,3,3,13,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0025,0,0,1,3
0,3,2,1,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0025,0,0,1,3
0,2,8,4,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0025,0,0,1,7
0,3,10,4,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.0025,0,0,1,7
0,3,8,1,7,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.005,0.009666666666666667,0,0,1,7
0,2,9,4,8,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.021,0.009666666666666667,0,1,1,7
1,2,9,4,8,3,3,2,13,2,5,0,0,0,0,0.16666666666666666,0.021,0.0125,1,0,1,3
0,4,13,2,2,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.009666666666666667,0,0,1,3
0,1,5,4,10,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0.009666666666666667,0,0,1,3
